DateHeure(UTC);DateHeure;TTW;Latitude;Longitude;HDG;TWA;MODE;BestUpVMG;BestDwnVMG;Speed(kt);TWD;TWS(kt);DTG(nm);DTF(nm);Voile;EffetBoost;DureeChangementVoile;RatioChangementVoile;DureeChangementAmure;RatioChangementAmure;CoeffDuree;PerteEnergie;GainEnergie;EnergieFinIteration
2025-01-18 17:23;2025-01-18 18:23;T+00:00;-12,9691667556763;-33,1797218322754;354;100;HDG;50;135;10,03;94;8,23;0,00;3941,91;Code 0;;;;;;;;1,58;100,00
2025-01-18 17:33;2025-01-18 18:33;T+00:10;-12,9413095141657;-33,1827261561598;355;99;HDG;50;135;10,10;94;8,34;1,68;3940,44;Code 0;;;;;;;;1,57;100,00
2025-01-18 17:43;2025-01-18 18:43;T+00:20;-12,9131996301625;-33,1852493416364;355;100;HDG;50;135;10,16;94;8,44;3,37;3938,95;Code 0;;;;;;;;1,56;100,00
2025-01-18 17:53;2025-01-18 18:53;T+00:30;-12,884925360285;-33,1877869965683;355;100;HDG;49;136;10,23;94;8,53;5,07;3937,45;Code 0;;;;;;;;1,55;100,00
2025-01-18 18:03;2025-01-18 19:03;T+00:40;-12,8564867065282;-33,1903391164571;355;100;HDG;49;136;10,30;94;8,60;6,78;3935,95;Code 0;;;;;;;;1,55;100,00
2025-01-18 18:13;2025-01-18 19:13;T+00:50;-12,827993258337;-33,19289586383;355;98;HDG;49;136;10,30;92;8,64;8,49;3934,43;Code 0;;;;;;;;1,54;100,00
2025-01-18 18:23;2025-01-18 19:23;T+01:00;-12,7993354242715;-33,1954670699257;355;96;HDG;49;137;10,36;91;8,71;10,22;3932,92;Code 0;;;;;;;;1,54;100,00
2025-01-18 18:33;2025-01-18 19:33;T+01:10;-12,7705862647216;-33,198046176412;354;96;HDG;48;138;10,43;89;8,79;11,94;3931,39;Code 0;;;;;;;;1,53;100,00
2025-01-18 18:43;2025-01-18 19:43;T+01:20;-12,7417212701512;-33,2011567173742;354;95;HDG;48;138;10,49;88;8,90;13,68;3929,87;Code 0;;;;;;;;1,52;100,00
2025-01-18 18:53;2025-01-18 19:53;T+01:30;-12,7126198357936;-33,2042923790824;355;93;HDG;47;139;10,56;87;9,04;15,44;3928,34;Code 0;;;;;;;;1,51;100,00
2025-01-18 19:03;2025-01-18 20:03;T+01:40;-12,6831052308643;-33,2069392451896;356;91;HDG;46;140;10,75;86;9,18;17,21;3926,78;Code 0;;;;;;;;1,50;100,00
