Date,Heure,HDG,Voile
2025-01-18,18:23,354,Code 0
2025-01-18,18:33,355,Code 0
2025-01-18,18:43,355,Code 0
2025-01-18,18:53,355,Code 0
2025-01-18,19:03,355,Code 0
2025-01-18,19:13,355,Code 0
2025-01-18,19:23,355,Code 0
2025-01-18,19:33,354,Code 0
2025-01-18,19:43,354,Code 0
2025-01-18,19:53,355,Code 0
2025-01-18,20:03,356,Code 0
2025-01-18,20:13,355,Code 0
2025-01-18,20:23,355,Code 0
2025-01-18,20:33,354,Code 0
2025-01-18,20:43,354,Code 0
2025-01-18,20:53,353,Code 0
2025-01-18,21:03,353,Code 0
2025-01-18,21:13,353,Code 0
2025-01-18,21:23,354,Code 0
2025-01-18,21:33,355,Code 0
2025-01-18,21:43,355,Code 0
2025-01-18,21:53,356,Code 0
2025-01-18,22:03,357,Code 0
2025-01-18,22:13,358,Code 0
2025-01-18,22:23,359,Code 0
2025-01-18,22:33,359,Code 0
2025-01-18,22:43,358,Code 0
2025-01-18,22:53,357,Code 0
2025-01-18,23:03,356,Code 0
2025-01-18,23:13,352,Code 0
2025-01-18,23:23,351,Code 0
2025-01-18,23:33,351,Code 0
2025-01-18,23:43,350,Code 0
2025-01-18,23:53,351,Code 0
2025-01-19,00:03,349,Code 0
2025-01-19,00:13,349,Code 0
2025-01-19,00:23,348,Code 0
2025-01-19,00:33,348,Code 0
2025-01-19,00:43,350,Code 0
2025-01-19,00:53,349,Code 0
2025-01-19,01:03,349,Code 0
2025-01-19,01:13,349,Code 0
2025-01-19,01:23,351,Code 0
2025-01-19,01:33,352,Code 0
2025-01-19,01:43,354,Code 0
2025-01-19,01:53,353,Code 0
2025-01-19,02:03,352,Code 0
2025-01-19,02:13,352,Code 0
2025-01-19,02:23,351,Code 0
2025-01-19,02:33,351,Code 0
2025-01-19,02:43,351,Code 0
2025-01-19,02:53,350,Code 0
2025-01-19,03:03,355,Code 0
2025-01-19,03:13,350,Code 0
2025-01-19,03:23,349,Code 0
2025-01-19,03:33,353,Code 0
2025-01-19,03:43,350,Code 0
2025-01-19,03:53,350,Code 0
2025-01-19,04:03,351,Code 0
2025-01-19,04:13,355,Code 0
2025-01-19,04:23,358,Code 0
2025-01-19,04:33,358,Code 0
2025-01-19,04:43,358,Code 0
2025-01-19,04:53,359,Code 0
2025-01-19,05:03,358,Code 0
2025-01-19,05:13,359,Code 0
2025-01-19,05:23,0,Code 0
2025-01-19,05:33,359,Code 0
2025-01-19,05:43,359,Code 0
2025-01-19,05:53,359,Code 0
2025-01-19,06:03,356,Code 0
2025-01-19,06:13,356,Code 0
2025-01-19,06:23,356,Code 0
2025-01-19,07:23,0,Code 0
2025-01-19,08:23,0,Code 0
2025-01-19,09:23,0,Code 0
2025-01-19,10:23,352,Code 0
2025-01-19,11:23,348,Code 0
2025-01-19,12:23,344,Code 0
2025-01-19,13:23,340,Code 0
2025-01-19,14:23,340,Code 0
2025-01-19,15:23,336,Code 0
2025-01-19,16:23,336,Code 0
2025-01-19,17:23,337,Code 0
2025-01-19,18:23,333,Code 0
2025-01-19,19:23,337,Code 0
2025-01-19,20:23,341,Code 0
2025-01-19,21:23,333,Code 0
2025-01-19,22:23,333,Code 0
2025-01-19,23:23,333,Code 0
2025-01-20,00:23,341,Code 0
2025-01-20,01:23,341,Code 0
2025-01-20,02:23,333,Code 0
2025-01-20,03:23,337,Code 0
2025-01-20,04:23,341,Code 0
2025-01-20,05:23,338,Code 0
2025-01-20,06:23,326,Spi leger
2025-01-20,07:23,334,Spi leger
2025-01-20,08:23,342,Spi leger
2025-01-20,09:23,338,Spi leger
2025-01-20,10:23,342,Spi leger
2025-01-20,11:23,338,Spi leger
2025-01-20,12:23,334,Spi leger
2025-01-20,13:23,330,Spi leger
2025-01-20,14:23,326,Spi leger
2025-01-20,15:23,322,Spi leger
2025-01-20,16:23,334,Code 0
2025-01-20,17:23,338,Code 0
2025-01-20,18:23,338,Code 0
2025-01-20,19:23,334,Code 0
2025-01-20,20:23,335,Code 0
2025-01-20,21:23,339,Code 0
2025-01-20,22:23,339,Code 0
2025-01-20,23:23,343,Code 0
2025-01-21,00:23,343,Code 0
2025-01-21,01:23,347,Code 0
2025-01-21,02:23,347,Code 0
2025-01-21,03:23,347,Code 0
2025-01-21,04:23,335,Code 0
2025-01-21,05:23,355,Code 0
2025-01-21,06:23,359,Code 0
2025-01-21,07:23,347,Code 0
2025-01-21,08:23,347,Code 0
2025-01-21,09:23,347,Code 0
2025-01-21,10:23,351,Code 0
2025-01-21,11:23,352,Code 0
2025-01-21,12:23,356,Code 0
2025-01-21,13:23,356,Code 0
2025-01-21,14:23,356,Code 0
2025-01-21,15:23,0,Code 0
2025-01-21,16:23,352,Code 0
2025-01-21,17:23,352,Code 0
2025-01-21,18:23,352,Code 0
2025-01-21,20:23,348,Code 0
2025-01-21,22:23,352,Code 0
2025-01-22,00:23,349,Code 0
2025-01-22,02:23,349,Code 0
2025-01-22,04:23,345,Code 0
2025-01-22,06:23,341,Code 0
2025-01-22,08:23,342,Code 0
